Date,Nickel
1993-08-02,4574.0
1993-09-01,4021.0
1993-10-01,4612.0
1993-11-01,4635.0
1993-12-01,5250.0
1994-01-03,5705.0
1994-02-01,5831.0
1994-03-01,5599.0
1994-04-01,5510.0
1994-05-02,6230.0
1994-06-01,6121.0
1994-07-01,6195.0
1994-08-01,6265.0
1994-09-01,6352.0
1994-10-03,7210.0
1994-11-01,8033.0
1994-12-01,8835.0
1995-01-02,9884.0
1995-02-01,7175.0
1995-03-01,7619.0
1995-04-03,7259.0
1995-05-01,7518.0
1995-06-01,8335.0
1995-07-03,8747.0
1995-08-01,8431.0
1995-09-01,8227.0
1995-10-02,8699.0
1995-11-01,8182.0
1995-12-01,7892.0
1996-01-01,8459.0
1996-02-01,7717.0
1996-03-01,8206.0
1996-04-01,7816.0
1996-05-01,7885.0
1996-06-03,7610.0
1996-07-01,6822.0
1996-08-01,7399.0
1996-09-02,6990.0
1996-10-01,7224.0
1996-11-01,6733.0
1996-12-02,6375.0
1997-01-01,7490.0
1997-02-03,7980.0
1997-03-03,7696.0
1997-04-01,7276.0
1997-05-01,7093.0
1997-06-02,6750.0
1997-07-01,7333.0
1997-08-01,6698.0
1997-09-01,6776.0
1997-10-01,6239.0
1997-11-03,6074.0
1997-12-01,5980.0
1998-01-01,5343.5
1998-02-02,5294.5
1998-03-02,5473.0
1998-04-01,5476.5
1998-05-01,4900.0
1998-06-01,4323.0
1998-07-01,4228.5
1998-08-03,4062.5
1998-09-01,3995.0
1998-10-01,3873.0
1998-11-02,4142.0
1998-12-01,4046.0
1999-01-01,4213.0
1999-02-01,4856.5
1999-03-01,4755.5
1999-04-01,5451.5
1999-05-03,4595.5
1999-06-01,5516.0
1999-07-01,6060.0
1999-08-02,6817.0
1999-09-01,7175.0
1999-10-01,7846.0
1999-11-01,7977.0
1999-12-01,8425.0
2000-01-03,8739.0
2000-02-01,9813.0
2000-03-01,10160.0
2000-04-03,10070.0
2000-05-01,9090.0
2000-06-01,8290.0
2000-07-03,7803.0
2000-08-01,8670.0
2000-09-01,8545.0
2000-10-02,7360.0
2000-11-01,7395.0
2000-12-01,7110.0
2001-01-01,7020.0
2001-02-01,6450.0
2001-03-01,5855.0
2001-04-02,6562.0
2001-05-01,7050.0
2001-06-01,6084.0
2001-07-02,5677.0
2001-08-01,5433.0
2001-09-03,4822.0
2001-10-01,4441.0
2001-11-01,5254.0
2001-12-03,5858.0
2002-01-01,5958.0
2002-02-01,6025.0
2002-03-01,6699.0
2002-04-01,7007.0
2002-05-01,6888.0
2002-06-03,7137.0
2002-07-01,6544.0
2002-08-01,6646.0
2002-09-02,6460.0
2002-10-01,7475.0
2002-11-01,7483.0
2002-12-02,7115.0
2003-01-01,8188.0
2003-02-03,8762.0
2003-03-03,7772.0
2003-04-01,8018.0
2003-05-01,8922.0
2003-06-02,8267.0
2003-07-01,9338.5
2003-08-01,9560.0
2003-09-01,10123.0
2003-10-01,11945.0
2003-11-03,12279.0
2003-12-01,16583.0
2004-01-01,15520.0
2004-02-02,14630.0
2004-03-01,14022.0
2004-04-01,11150.0
2004-05-03,12232.0
2004-06-01,15360.0
2004-07-01,14080.0
2004-08-02,12720.0
2004-09-01,16580.0
2004-10-01,13910.0
2004-11-01,14265.0
2004-12-01,14877.0
2005-01-03,14567.0
2005-02-01,16425.0
2005-03-01,16325.0
2005-04-01,16590.0
2005-05-02,17050.0
2005-06-01,14730.0
2005-07-01,14475.0
2005-08-01,15020.0
2005-09-01,13525.0
2005-10-03,11945.0
2005-11-01,12776.0
2005-12-01,13372.0
2006-01-02,15092.0
2006-02-01,14831.0
2006-03-01,15153.0
2006-04-03,19365.0
2006-05-01,22595.0
2006-06-01,22325.0
2006-07-03,27175.0
2006-08-01,32300.0
2006-09-01,31300.0
2006-10-02,32450.0
2006-11-01,34675.0
2006-12-01,34025.0
2007-01-01,39575.0
2007-02-01,44695.0
2007-03-01,46825.0
2007-04-02,49825.0
2007-05-01,48850.0
2007-06-01,36315.0
2007-07-02,31485.0
2007-08-01,29550.0
2007-09-03,30235.0
2007-10-01,31690.0
2007-11-01,26750.0
2007-12-03,26010.0
2008-01-01,27180.0
2008-02-01,31325.0
2008-03-03,29495.0
2008-04-01,28395.0
2008-05-01,21963.0
2008-06-02,21793.0
2008-07-01,18270.0
2008-08-01,20195.0
2008-09-01,15660.0
2008-10-01,11962.0
2008-11-03,10111.0
2008-12-01,11629.0
2009-01-01,11156.0
2009-02-02,9941.0
2009-03-02,9773.0
2009-04-01,11626.0
2009-05-01,13886.0
2009-06-01,15304.0
2009-07-01,17910.0
2009-08-03,19065.0
2009-09-01,17830.0
2009-10-01,18210.0
2009-11-02,16348.0
2009-12-01,18467.0
2010-01-01,18447.0
2010-02-01,21113.0
2010-03-01,24972.0
2010-04-01,26253.0
2010-05-03,21291.0
2010-06-01,19693.0
2010-07-01,21095.0
2010-08-02,20657.0
2010-09-01,23420.0
2010-10-01,22933.0
2010-11-01,23011.0
2010-12-01,24715.0
2011-01-03,27333.0
2011-02-01,28977.0
2011-03-01,26086.0
2011-04-01,26844.0
2011-05-02,23588.0
2011-06-01,23403.0
2011-07-01,24966.0
2011-08-01,22166.0
2011-09-01,17576.0
2011-10-03,19559.0
