Date,cobalt,copper,gold,silver
1990-01-01,,978,4178.0,527
1990-01-02,,10825,4089.0,5205
1990-01-03,,1181,3750.0,5021
1990-01-04,,1089,3714.0,5015
1990-01-05,,1082,3686.0,5151
1990-01-06,,114,3599.0,4963
1990-01-07,,1226,3792.0,4858
1990-01-08,,1265,3892.0,4828
1990-01-09,,1188,4081.0,4832
1990-01-10,,11355,3813.0,42
1990-01-11,,1085,3857.0,4178
1990-01-12,,11685,3962.0,4247
1991-01-01,,1055,3685.0,3873
1991-01-02,,1115,3690.0,3773
1991-01-03,,1055,3594.0,3892
1991-01-04,,1051,3577.0,4015
1991-01-05,,964,3648.0,4142
1991-01-06,,10015,3700.0,4475
1991-01-07,,1008,3708.0,4101
1991-01-08,,10345,3529.0,3845
1991-01-09,,1048,3573.0,4173
1991-01-10,,1058,3595.0,4125
1991-01-11,,1016,3711.0,4093
1991-01-12,,9755,3539.0,3912
1992-01-01,,9845,3589.0,4195
1992-01-02,,1032,3541.0,4135
1992-01-03,,10135,3455.0,4159
1992-01-04,,10045,3379.0,4015
1992-01-05,,10125,3384.0,404
1992-01-06,,1097,3444.0,4058
1992-01-07,,1125,3614.0,3958
1992-01-08,,1105,3453.0,3748
1992-01-09,,10475,3494.0,3762
1992-01-10,,1017,3401.0,3775
1992-01-11,,986,3355.0,3762
1992-01-12,,1036,3331.0,369
1993-01-01,,992,3307.0,3672
1993-01-02,,9595,3291.0,36
1993-01-03,,966,3393.0,3917
1993-01-04,,845,3572.0,4417
1993-01-05,,801,3803.0,4638
1993-01-06,,865,3792.0,4587
1993-01-07,,883,4113.0,5235
1993-01-08,,859,3757.0,4874
1993-01-09,,749,3571.0,4082
1993-01-10,,734,3696.0,4379
1993-01-11,,747,3719.0,445
1993-01-12,,833,3919.0,5117
1994-01-01,,86,3836.0,5147
1994-01-02,,8665,3825.0,539
1994-01-03,,8685,3943.0,5805
1994-01-04,,915,3778.0,5383
1994-01-05,,1034,3900.0,5579
1994-01-06,,10825,3873.0,5425
1994-01-07,,11135,3892.0,5356
1994-01-08,,11595,3908.0,5487
1994-01-09,,11255,3976.0,5657
1994-01-10,,1219,3849.0,5288
1994-01-11,,13365,3845.0,4943
1994-01-12,,1386,3844.0,4917
1995-01-01,,13515,3777.0,4689
1995-01-02,,12855,3783.0,4565
1995-01-03,,1342,3943.0,5336
1995-01-04,,1271,3885.0,5783
1995-01-05,,1295,3876.0,5338
1995-01-06,,1367,3856.0,5065
1995-01-07,,13335,3884.0,5077
1995-01-08,,13275,3869.0,5361
1995-01-09,,13165,3865.0,5485
1995-01-10,,12335,3843.0,5377
1995-01-11,,12625,3886.0,525
1995-01-12,,12055,3881.0,5207
1996-01-01,,1134,4085.0,5611
1996-01-02,,1153,4012.0,5545
1996-01-03,,11505,3984.0,5563
1996-01-04,,11915,3935.0,534
1996-01-05,,1131,3944.0,543
1996-01-06,,904,3816.0,5035
1996-01-07,,9255,3931.0,5173
1996-01-08,,9565,3913.0,525
1996-01-09,,901,3805.0,4877
1996-01-10,,905,3791.0,4828
1996-01-11,,1068,3730.0,476
1996-01-12,,10025,3692.0,479
1997-01-01,,10195,3460.0,4943
1997-01-02,,1109,3651.0,536
1997-01-03,,1108,3540.0,51
1997-01-04,,11135,3412.0,4693
1997-01-05,,1165,3475.0,4698
1997-01-06,,11215,3353.0,4648
1997-01-07,,1075,3286.0,4527
1997-01-08,,9945,3274.0,4676
1997-01-09,,97,3369.0,5232
1997-01-10,,91,3121.0,4754
1997-01-11,,8565,2969.0,5273
1997-01-12,,781,2899.0,5988
1998-01-01,,797,3046.0,6125
1998-01-02,,7705,3001.0,648
1998-01-03,,801,3033.0,6466
1998-01-04,,837,3079.0,623
1998-01-05,,778,2951.0,5099
1998-01-06,,738,2981.0,5535
1998-01-07,,7695,2905.0,5473
1998-01-08,,7155,2789.0,4658
1998-01-09,,7375,2990.0,536
1998-01-10,,727,2937.0,5064
1998-01-11,,7105,2951.0,4865
1998-01-12,,672,2892.0,502
1999-01-01,,6495,2882.0,5252
1999-01-02,,6325,2883.0,563
1999-01-03,,632,2819.0,4982
1999-01-04,,7275,2878.0,543
1999-01-05,,6325,2720.0,491
1999-01-06,,7665,2636.0,5287
1999-01-07,,766,2588.0,549
1999-01-08,,787,2573.0,5188
1999-01-09,,8265,2995.0,5615
1999-01-10,,81,3003.0,5177
1999-01-11,,8135,2930.0,5236
1999-01-12,,863,2896.0,5453
2000-01-01,,8545,2862.0,5321
2000-01-02,,798,2942.0,5108
2000-01-03,,8085,2814.0,5062
2000-01-04,,796,2747.0,5015
2000-01-05,,816,2748.0,4987
2000-01-06,,824,2915.0,5083
2000-01-07,,8755,2832.0,5091
