"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.12.2025","16.681,88","14.817,50","16.828,38","14.197,88","","12,64%"
"01.11.2025","14.809,38","15.201,00","15.274,75","14.312,88","","-2,69%"
"01.10.2025","15.218,88","15.192,63","15.606,88","15.063,00","","0,01%"
"01.09.2025","15.217,13","15.401,75","15.505,13","15.034,63","","-1,21%"
"01.08.2025","15.403,88","14.886,13","15.414,38","14.738,88","","3,26%"
"01.07.2025","14.916,88","15.068,63","15.618,38","14.860,88","","-1,84%"
"01.06.2025","15.196,13","15.235,00","15.531,75","14.755,25","","-0,25%"
"01.05.2025","15.233,88","15.303,50","15.949,63","14.977,13","","-0,71%"
"01.04.2025","15.342,50","15.926,63","16.183,63","13.820,75","","-3,42%"
"01.03.2025","15.885,50","15.539,25","16.752,63","15.520,75","","3,37%"
"03.02.2025","15.367,00","15.100,00","15.818,00","15.002,00","","-0,61%"
"01.02.2025","15.461,88","15.272,38","15.902,38","15.219,38","","1,80%"
"01.01.2025","15.188,00","15.317,00","16.102,00","14.873,00","","-0,68%"
"02.12.2024","15.292,00","15.825,00","16.235,00","15.045,00","","-4,17%"
"01.11.2024","15.958,00","15.871,00","16.593,00","15.433,00","","1,64%"
"01.10.2024","15.700,00","17.683,00","18.258,00","15.678,00","","-10,16%"
"02.09.2024","17.475,00","15.955,70","17.544,00","15.707,50","","-18,70%"
"01.08.2023","21.493,70","22.154,80","22.618,00","20.999,90","","-3,51%"
"03.07.2023","22.274,70","20.518,70","22.498,10","20.181,90","","9,50%"
"01.06.2023","20.342,80","20.941,50","23.351,10","19.887,00","","-1,08%"
"01.05.2023","20.565,70","21.106,40","21.820,00","20.278,80","","-13,32%"
"01.03.2023","23.724,90","25.139,10","25.426,00","23.616,00","","-4,52%"
"01.02.2023","24.848,30","30.450,20","30.663,10","24.244,10","","-17,88%"
"02.01.2023","30.259,30","30.287,30","31.884,40","25.892,70","","-0,52%"
"01.12.2022","30.418,20","27.014,10","33.566,50","26.671,80","","13,61%"
"01.11.2022","26.775,20","22.376,70","31.224,30","22.375,70","","21,96%"
"03.10.2022","21.953,90","21.113,40","23.111,30","20.991,40","","3,21%"
"01.09.2022","21.271,30","20.810,50","25.643,90","20.018,00","","-0,33%"
"01.08.2022","21.341,20","24.104,70","25.085,70","20.896,50","","-10,51%"
"01.07.2022","23.848,90","21.944,90","23.882,80","18.280,90","","5,04%"
"01.06.2022","22.705,50","28.246,40","29.895,00","21.620,10","","-19,28%"
"02.05.2022","28.129,50","26.404,40","30.507,20","25.943,70","","-11,72%"
"01.04.2022","31.864,40","33.762,40","33.990,80","31.670,10","","12,63%"
"01.03.2022","28.290,90","24.270,60","61.972,30","24.257,60","","17,43%"
"01.02.2022","24.092,70","22.265,70","25.672,90","22.237,80","","8,05%"
"03.01.2022","22.297,70","20.788,60","24.407,10","20.151,90","","11,33%"
"01.12.2021","20.029,00","19.916,00","20.419,30","19.001,50","","0,73%"
"01.11.2021","19.884,00","19.578,20","21.214,30","18.944,60","","1,62%"
"01.10.2021","19.567,20","18.000,00","21.404,70","17.765,10","","8,59%"
"01.09.2021","18.020,00","19.545,90","20.662,60","17.789,10","","-7,97%"
"02.08.2021","19.580,90","19.483,90","19.733,90","17.684,40","","0,22%"
"01.07.2021","19.538,40","18.208,30","19.928,00","17.675,10","","7,42%"
"01.06.2021","18.188,30","18.153,60","18.581,40","17.030,50","","0,31%"
"03.05.2021","18.132,70","17.597,70","18.197,80","16.568,50","","3,49%"
"01.04.2021","17.521,30","16.039,00","17.646,20","15.869,40","","9,07%"
"01.03.2021","16.064,00","18.611,00","18.825,80","15.430,70","","-13,12%"
"01.02.2021","18.490,10","17.642,60","20.056,10","17.415,00","","4,96%"
"01.01.2021","17.616,60","16.623,30","18.450,70","16.623,30","","6,60%"
