Date,Price
2010-01-04,4285000
2010-01-05,3912500
2010-01-06,3844500
2010-01-07,3810000
2010-01-08,4165000
2010-01-09,3878000
2010-01-10,3840000
2010-01-11,3620000
2010-01-12,3855000
2011-01-01,3905000
2011-01-02,3991000
2011-01-03,3690000
2011-01-04,3700000
2011-01-05,3709500
2011-01-06,3500000
2011-01-07,3609000
2011-01-08,3559000
2011-01-09,3254500
2011-01-10,2841500
2011-01-11,3137400
2011-01-12,2997000
2012-01-01,3289000
2012-01-02,3135000
2012-01-03,3274500
2012-01-04,3050000
2012-01-05,3025000
2012-01-06,2800000
2012-01-07,2976000
2012-01-08,2950000
2012-01-09,2975000
2012-01-10,2555000
2012-01-11,2285500
2012-01-12,2541500
2013-01-01,2619000
2013-01-02,2544400
2013-01-03,2694000
2013-01-04,2750880
2013-01-05,2950000
2013-01-06,3208400
2013-01-07,2638500
2013-01-08,2791600
2013-01-09,2655600
2013-01-10,2687000
2013-01-11,2543500
2013-01-12,2896000
2014-01-01,2892400
2014-01-02,3131850
2014-01-03,3139300
2014-01-04,2989500
2014-01-05,3047800
2014-01-06,3053100
2014-01-07,3190700
2014-01-08,3243400
2014-01-09,3218050
2014-01-10,2996200
2014-01-11,3039300
2014-01-12,3139400
2015-01-01,2944400
2015-01-02,2872000
2015-01-03,2675800
2015-01-04,2991900
2015-01-05,3035000
2015-01-06,3325000
2015-01-07,3070000
2015-01-08,2815100
2015-01-09,2770000
2015-01-10,2693300
2015-01-11,2466080
2015-01-12,2396600
2016-01-01,2182000
2016-01-02,2260950
2016-01-03,2198100
2016-01-04,2372550
2016-01-05,2368650
2016-01-06,2369300
2016-01-07,2625000
2016-01-08,2625000
2016-01-09,2750000
2016-01-10,2853700
2016-01-11,2975000
2016-01-12,3275000
2017-01-01,3700000
2017-01-02,5025000
2017-01-03,5450000
2017-01-04,5500000
2017-01-05,5635000
2017-01-06,5975000
2017-01-07,5684000
2017-01-08,6075000
2017-01-09,5904000
2017-01-10,6040000
2017-01-11,6718000
2017-01-12,7520500
2018-01-01,7995600
2018-01-02,8100000
2018-01-03,9355000
2018-01-04,8850000
2018-01-05,9000000
2018-01-06,7755000
2018-01-07,6910000
2018-01-08,6430600
2018-01-09,6195100
2018-01-10,5975000
2018-01-11,5500000
2018-01-12,5500000
2019-01-01,3400000
2019-01-02,3300000
2019-01-03,3000000
2019-01-04,3450000
2019-01-05,3200000
2019-01-06,2865000
2019-01-07,2566600
2019-01-08,3223500
2019-01-09,3555200
2019-01-10,3559800
2019-01-11,3538400
2019-01-12,3236600
2020-01-01,3463750
2020-01-02,3315650
2020-01-03,2963050
2020-01-04,2963700
2020-01-05,2965200
2020-01-06,2848100
2020-01-07,2900000
2020-01-08,3304250
2020-01-09,3396750
2020-01-10,3253800
2020-01-11,3204100
2020-01-12,3203175
2021-01-01,4124300
2021-01-02,5195300
2021-01-03,5006900
2021-01-04,4516500
2021-01-05,4361500
2021-01-06,4961800
2021-01-07,5242600
2021-01-08,5012150
2021-01-09,5301900
2021-01-10,5634000
2021-01-11,6553000
2021-01-12,7023200
2022-01-01,7076400
2022-01-02,7376700
2022-01-03,8186000
2022-01-04,8176700
2022-01-05,7364000
2022-01-06,7009800
2022-01-07,5009700
2022-01-08,5159500
2022-01-09,5160300
2022-01-10,5157750
2022-01-11,5158400
2022-01-12,5159100
2023-01-01,4865200
2023-01-02,3381450
2023-01-03,3457900
2023-01-04,3458200
2023-01-05,2916500
2023-01-06,3307400
2023-01-07,3304950
2023-01-08,3305550
2023-01-09,3307100
2023-01-10,3305900
2023-01-11,3307800
2023-01-12,2878750
2024-01-01,2876450
2024-01-02,2828800
2024-01-03,2843700
2024-01-04,2777550
2024-01-05,2690800
2024-01-06,2680150
2024-01-07,2626000
2024-01-08,2408100
2024-01-09,2423300
2024-01-10,2430000
2024-01-11,2430000
2024-01-12,2430000
2025-01-01,2136279
2025-01-02,2120847
2025-01-03,3306934
2025-01-04,3370868
2025-01-05,3346617
2025-01-06,3375277
2025-01-07,3331185
2025-01-08,3362049
2025-01-09,3778723
2025-01-10,4538647
