Date,Price
1990-01-01,978
1990-01-02,10825
1990-01-03,1181
1990-01-04,1089
1990-01-05,1082
1990-01-06,114
1990-01-07,1226
1990-01-08,1265
1990-01-09,1188
1990-01-10,11355
1990-01-11,1085
1990-01-12,11685
1991-01-01,1055
1991-01-02,1115
1991-01-03,1055
1991-01-04,1051
1991-01-05,964
1991-01-06,10015
1991-01-07,1008
1991-01-08,10345
1991-01-09,1048
1991-01-10,1058
1991-01-11,1016
1991-01-12,9755
1992-01-01,9845
1992-01-02,1032
1992-01-03,10135
1992-01-04,10045
1992-01-05,10125
1992-01-06,1097
1992-01-07,1125
1992-01-08,1105
1992-01-09,10475
1992-01-10,1017
1992-01-11,986
1992-01-12,1036
1993-01-01,992
1993-01-02,9595
1993-01-03,966
1993-01-04,845
1993-01-05,801
1993-01-06,865
1993-01-07,883
1993-01-08,859
1993-01-09,749
1993-01-10,734
1993-01-11,747
1993-01-12,833
1994-01-01,86
1994-01-02,8665
1994-01-03,8685
1994-01-04,915
1994-01-05,1034
1994-01-06,10825
1994-01-07,11135
1994-01-08,11595
1994-01-09,11255
1994-01-10,1219
1994-01-11,13365
1994-01-12,1386
1995-01-01,13515
1995-01-02,12855
1995-01-03,1342
1995-01-04,1271
1995-01-05,1295
1995-01-06,1367
1995-01-07,13335
1995-01-08,13275
1995-01-09,13165
1995-01-10,12335
1995-01-11,12625
1995-01-12,12055
1996-01-01,1134
1996-01-02,1153
1996-01-03,11505
1996-01-04,11915
1996-01-05,1131
1996-01-06,904
1996-01-07,9255
1996-01-08,9565
1996-01-09,901
1996-01-10,905
1996-01-11,1068
1996-01-12,10025
1997-01-01,10195
1997-01-02,1109
1997-01-03,1108
1997-01-04,11135
1997-01-05,1165
1997-01-06,11215
1997-01-07,1075
1997-01-08,9945
1997-01-09,97
1997-01-10,91
1997-01-11,8565
1997-01-12,781
1998-01-01,797
1998-01-02,7705
1998-01-03,801
1998-01-04,837
1998-01-05,778
1998-01-06,738
1998-01-07,7695
1998-01-08,7155
1998-01-09,7375
1998-01-10,727
1998-01-11,7105
1998-01-12,672
1999-01-01,6495
1999-01-02,6325
1999-01-03,632
1999-01-04,7275
1999-01-05,6325
1999-01-06,7665
1999-01-07,766
1999-01-08,787
1999-01-09,8265
1999-01-10,81
1999-01-11,8135
1999-01-12,863
2000-01-01,8545
2000-01-02,798
2000-01-03,8085
2000-01-04,796
2000-01-05,816
2000-01-06,824
2000-01-07,8755
2000-01-08,892
2000-01-09,9205
2000-01-10,852
2000-01-11,8455
2000-01-12,843
2001-01-01,842
2001-01-02,816
2001-01-03,7665
2001-01-04,777
2001-01-05,761
2001-01-06,7135
2001-01-07,686
2001-01-08,684
2001-01-09,652
2001-01-10,6275
2001-01-11,729
2001-01-12,659
2002-01-01,736
2002-01-02,7205
2002-01-03,7665
2002-01-04,739
2002-01-05,767
2002-01-06,7745
2002-01-07,684
2002-01-08,6925
2002-01-09,666
2002-01-10,7195
2002-01-11,7525
2002-01-12,7025
2003-01-01,7975
2003-01-02,781
2003-01-03,717
2003-01-04,731
2003-01-05,784
2003-01-06,753
2003-01-07,821
2003-01-08,808
2003-01-09,8185
2003-01-10,941
2003-01-11,9125
2003-01-12,10455
2004-01-01,1142
2004-01-02,1346
2004-01-03,1358
2004-01-04,12075
2004-01-05,12745
2004-01-06,1208
2004-01-07,1298
2004-01-08,12815
2004-01-09,1396
2004-01-10,13325
2004-01-11,1439
2004-01-12,14525
2005-01-01,1421
2005-01-02,14985
2005-01-03,1497
2005-01-04,1464
2005-01-05,14225
2005-01-06,151
2005-01-07,16225
2005-01-08,1668
2005-01-09,17275
2005-01-10,1792
2005-01-11,19655
2005-01-12,2042
2006-01-01,22155
2006-01-02,21785
2006-01-03,2459
2006-01-04,32205
2006-01-05,36065
2006-01-06,3355
2006-01-07,355
2006-01-08,3461
2006-01-09,34605
2006-01-10,3349
2006-01-11,3189
2006-01-12,2871
2007-01-01,26015
2007-01-02,2752
2007-01-03,3144
2007-01-04,35565
2007-01-05,33915
2007-01-06,34505
2007-01-07,3642
2007-01-08,3403
2007-01-09,364
2007-01-10,34795
2007-01-11,31785
2007-01-12,3041
2008-01-01,3307
2008-01-02,3855
2008-01-03,3827
2008-01-04,39045
2008-01-05,3606
2008-01-06,38825
2008-01-07,3656
2008-01-08,33995
2008-01-09,2879
2008-01-10,18345
2008-01-11,1644
2008-01-12,141
2009-01-01,14755
2009-01-02,15385
2009-01-03,1849
2009-01-04,20475
2009-01-05,21995
2009-01-06,2272
2009-01-07,26245
2009-01-08,2821
2009-01-09,2819
2009-01-10,29605
2009-01-11,3168
2009-01-12,33465
2010-01-01,30595
2010-01-02,3284
2010-01-03,3563
2010-01-04,33535
2010-01-05,3115
2010-01-06,29505
2010-01-07,332
2010-01-08,33685
