Date,Price
1990-01-01,4178.0
1990-01-02,4089.0
1990-01-03,3750.0
1990-01-04,3714.0
1990-01-05,3686.0
1990-01-06,3599.0
1990-01-07,3792.0
1990-01-08,3892.0
1990-01-09,4081.0
1990-01-10,3813.0
1990-01-11,3857.0
1990-01-12,3962.0
1991-01-01,3685.0
1991-01-02,3690.0
1991-01-03,3594.0
1991-01-04,3577.0
1991-01-05,3648.0
1991-01-06,3700.0
1991-01-07,3708.0
1991-01-08,3529.0
1991-01-09,3573.0
1991-01-10,3595.0
1991-01-11,3711.0
1991-01-12,3539.0
1992-01-01,3589.0
1992-01-02,3541.0
1992-01-03,3455.0
1992-01-04,3379.0
1992-01-05,3384.0
1992-01-06,3444.0
1992-01-07,3614.0
1992-01-08,3453.0
1992-01-09,3494.0
1992-01-10,3401.0
1992-01-11,3355.0
1992-01-12,3331.0
1993-01-01,3307.0
1993-01-02,3291.0
1993-01-03,3393.0
1993-01-04,3572.0
1993-01-05,3803.0
1993-01-06,3792.0
1993-01-07,4113.0
1993-01-08,3757.0
1993-01-09,3571.0
1993-01-10,3696.0
1993-01-11,3719.0
1993-01-12,3919.0
1994-01-01,3836.0
1994-01-02,3825.0
1994-01-03,3943.0
1994-01-04,3778.0
1994-01-05,3900.0
1994-01-06,3873.0
1994-01-07,3892.0
1994-01-08,3908.0
1994-01-09,3976.0
1994-01-10,3849.0
1994-01-11,3845.0
1994-01-12,3844.0
1995-01-01,3777.0
1995-01-02,3783.0
1995-01-03,3943.0
1995-01-04,3885.0
1995-01-05,3876.0
1995-01-06,3856.0
1995-01-07,3884.0
1995-01-08,3869.0
1995-01-09,3865.0
1995-01-10,3843.0
1995-01-11,3886.0
1995-01-12,3881.0
1996-01-01,4085.0
1996-01-02,4012.0
1996-01-03,3984.0
1996-01-04,3935.0
1996-01-05,3944.0
1996-01-06,3816.0
1996-01-07,3931.0
1996-01-08,3913.0
1996-01-09,3805.0
1996-01-10,3791.0
1996-01-11,3730.0
1996-01-12,3692.0
1997-01-01,3460.0
1997-01-02,3651.0
1997-01-03,3540.0
1997-01-04,3412.0
1997-01-05,3475.0
1997-01-06,3353.0
1997-01-07,3286.0
1997-01-08,3274.0
1997-01-09,3369.0
1997-01-10,3121.0
1997-01-11,2969.0
1997-01-12,2899.0
1998-01-01,3046.0
1998-01-02,3001.0
1998-01-03,3033.0
1998-01-04,3079.0
1998-01-05,2951.0
1998-01-06,2981.0
1998-01-07,2905.0
1998-01-08,2789.0
1998-01-09,2990.0
1998-01-10,2937.0
1998-01-11,2951.0
1998-01-12,2892.0
1999-01-01,2882.0
1999-01-02,2883.0
1999-01-03,2819.0
1999-01-04,2878.0
1999-01-05,2720.0
1999-01-06,2636.0
1999-01-07,2588.0
1999-01-08,2573.0
1999-01-09,2995.0
1999-01-10,3003.0
1999-01-11,2930.0
1999-01-12,2896.0
2000-01-01,2862.0
2000-01-02,2942.0
2000-01-03,2814.0
2000-01-04,2747.0
2000-01-05,2748.0
2000-01-06,2915.0
2000-01-07,2832.0
2000-01-08,2821.0
2000-01-09,2769.0
2000-01-10,2664.0
2000-01-11,2733.0
