Date,Price
1990-01-01,527
1990-01-02,5205
1990-01-03,5021
1990-01-04,5015
1990-01-05,5151
1990-01-06,4963
1990-01-07,4858
1990-01-08,4828
1990-01-09,4832
1990-01-10,42
1990-01-11,4178
1990-01-12,4247
1991-01-01,3873
1991-01-02,3773
1991-01-03,3892
1991-01-04,4015
1991-01-05,4142
1991-01-06,4475
1991-01-07,4101
1991-01-08,3845
1991-01-09,4173
1991-01-10,4125
1991-01-11,4093
1991-01-12,3912
1992-01-01,4195
1992-01-02,4135
1992-01-03,4159
1992-01-04,4015
1992-01-05,404
1992-01-06,4058
1992-01-07,3958
1992-01-08,3748
1992-01-09,3762
1992-01-10,3775
1992-01-11,3762
1992-01-12,369
1993-01-01,3672
1993-01-02,36
1993-01-03,3917
1993-01-04,4417
1993-01-05,4638
1993-01-06,4587
1993-01-07,5235
1993-01-08,4874
1993-01-09,4082
1993-01-10,4379
1993-01-11,445
1993-01-12,5117
1994-01-01,5147
1994-01-02,539
1994-01-03,5805
1994-01-04,5383
1994-01-05,5579
1994-01-06,5425
1994-01-07,5356
1994-01-08,5487
1994-01-09,5657
1994-01-10,5288
1994-01-11,4943
1994-01-12,4917
1995-01-01,4689
1995-01-02,4565
1995-01-03,5336
1995-01-04,5783
1995-01-05,5338
1995-01-06,5065
1995-01-07,5077
1995-01-08,5361
1995-01-09,5485
1995-01-10,5377
1995-01-11,525
1995-01-12,5207
1996-01-01,5611
1996-01-02,5545
1996-01-03,5563
1996-01-04,534
1996-01-05,543
1996-01-06,5035
1996-01-07,5173
1996-01-08,525
1996-01-09,4877
1996-01-10,4828
1996-01-11,476
1996-01-12,479
1997-01-01,4943
1997-01-02,536
1997-01-03,51
1997-01-04,4693
1997-01-05,4698
1997-01-06,4648
1997-01-07,4527
1997-01-08,4676
1997-01-09,5232
1997-01-10,4754
1997-01-11,5273
1997-01-12,5988
1998-01-01,6125
1998-01-02,648
1998-01-03,6466
1998-01-04,623
1998-01-05,5099
1998-01-06,5535
1998-01-07,5473
1998-01-08,4658
1998-01-09,536
1998-01-10,5064
1998-01-11,4865
1998-01-12,502
1999-01-01,5252
1999-01-02,563
1999-01-03,4982
1999-01-04,543
1999-01-05,491
1999-01-06,5287
1999-01-07,549
1999-01-08,5188
1999-01-09,5615
1999-01-10,5177
1999-01-11,5236
1999-01-12,5453
2000-01-01,5321
2000-01-02,5108
2000-01-03,5062
2000-01-04,5015
2000-01-05,4987
2000-01-06,5083
2000-01-07,5091
2000-01-08,5022
2000-01-09,4948
2000-01-10,4796
2000-01-11,4733
2000-01-12,4635
2001-01-01,4858
2001-01-02,4515
2001-01-03,4315
2001-01-04,4358
2001-01-05,4428
2001-01-06,4327
2001-01-07,4243
2001-01-08,4193
2001-01-09,4675
2001-01-10,4239
2001-01-11,4157
2001-01-12,4588
2002-01-01,423
2002-01-02,4517
2002-01-03,4656
2002-01-04,4555
2002-01-05,5052
2002-01-06,4855
2002-01-07,4612
2002-01-08,4452
2002-01-09,4548
2002-01-10,4514
2002-01-11,4427
2002-01-12,4812
2003-01-01,4866
2003-01-02,4592
2003-01-03,4475
2003-01-04,4652
2003-01-05,4539
2003-01-06,4564
2003-01-07,5123
2003-01-08,5122
2003-01-09,5142
2003-01-10,5068
2003-01-11,5373
2003-01-12,5965
2004-01-01,6256
2004-01-02,6715
2004-01-03,795
2004-01-04,6079
2004-01-05,6118
2004-01-06,5795
2004-01-07,6575
2004-01-08,68
