Date,Price,Open,High,Low,Vol.,Change %
01/01/1990,417.8,401.00,427.00,394.50,,3.11%
02/01/1990,408.9,418.80,430.30,407.50,,-2.13%
03/01/1990,375.0,409.30,410.40,362.50,,-8.29%
04/01/1990,371.4,372.30,385.40,367.70,,-0.96%
05/01/1990,368.6,372.40,377.60,361.00,,-0.75%
06/01/1990,359.9,367.50,368.90,348.20,,-2.36%
07/01/1990,379.2,359.50,382.20,352.00,,5.36%
08/01/1990,389.2,379.30,425.00,379.20,,2.64%
09/01/1990,408.1,390.10,414.30,381.60,,4.86%
10/01/1990,381.3,402.90,404.00,361.50,,-6.57%
11/01/1990,385.7,383.00,393.30,376.00,,1.15%
12/01/1990,396.2,384.90,396.50,369.10,,2.72%
01/01/1991,368.5,395.10,406.90,367.80,,-6.99%
02/01/1991,369.0,371.50,373.70,357.00,,0.14%
03/01/1991,359.4,368.50,372.80,354.50,,-2.60%
04/01/1991,357.7,359.10,368.20,352.60,,-0.47%
05/01/1991,364.8,358.60,367.70,354.60,,1.98%
06/01/1991,370.0,366.80,377.90,361.50,,1.43%
07/01/1991,370.8,370.20,373.20,362.30,,0.22%
08/01/1991,352.9,370.70,370.90,350.10,,-4.83%
09/01/1991,357.3,351.30,359.50,346.00,,1.25%
10/01/1991,359.5,357.10,367.40,356.70,,0.62%
11/01/1991,371.1,359.50,371.20,353.60,,3.23%
12/01/1991,353.9,371.60,374.90,352.30,,-4.63%
01/01/1992,358.9,351.20,361.50,348.50,,1.41%
02/01/1992,354.1,359.50,360.50,349.40,,-1.34%
03/01/1992,345.5,351.30,353.00,336.30,,-2.43%
04/01/1992,337.9,346.00,346.90,334.90,,-2.20%
05/01/1992,338.4,338.10,341.70,335.10,,0.15%
06/01/1992,344.4,338.70,346.90,338.20,,1.77%
07/01/1992,361.4,345.10,362.00,344.30,,4.94%
08/01/1992,345.3,360.50,360.60,335.00,,-4.45%
09/01/1992,349.4,345.50,354.50,340.30,,1.19%
10/01/1992,340.1,348.90,353.40,336.90,,-2.66%
11/01/1992,335.5,339.90,340.80,328.90,,-1.35%
12/01/1992,333.1,335.80,340.10,332.00,21.93K,-0.72%
01/01/1993,330.7,329.10,333.00,326.30,325.22K,-0.72%
02/01/1993,329.1,330.20,334.60,327.80,358.35K,-0.48%
03/01/1993,339.3,329.50,341.70,325.80,443.43K,3.10%
04/01/1993,357.2,338.60,358.50,336.00,600.56K,5.28%
05/01/1993,380.3,358.80,386.50,354.30,786.10K,6.47%
06/01/1993,379.2,379.70,381.00,361.70,727.87K,-0.29%
07/01/1993,411.3,378.90,411.70,378.10,845.95K,8.47%
