Date,Real,ARIMAX_Pred,Error_Abs,Error_Pct
2022-01-10,5157750,5094253.900061304,63496.09993869625,1.2310813811971548
2022-01-11,5158400,5032076.391100181,126323.60889981873,2.4488913015628633
2022-01-12,5159100,4971631.771776674,187468.22822332568,3.6337389898107366
2023-01-01,4865200,4911963.379899688,46763.379899688065,0.961181038799804
2023-01-02,3381450,4892020.659165494,1510570.6591654941,44.67227547843364
2023-01-03,3457900,4872233.687398357,1414333.6873983573,40.9015207900274
2023-01-04,3458200,4852516.4815415125,1394316.4815415125,40.31913948127675
2023-01-05,2916500,4832830.526500193,1916330.5265001934,65.70651556661043
2023-01-06,3307400,4813158.5698926,1505758.5698926002,45.52695682084417
2023-01-07,3304950,4793492.883718062,1488542.8837180622,45.039800412050475
2023-01-08,3305550,4773830.006309947,1468280.006309947,44.41862946589666
2023-01-09,3307100,4754168.387055585,1447068.3870555852,43.756414594526476
2023-01-10,3305900,4734507.331376333,1428607.3313763328,43.21387009214837
2023-01-11,3307800,4714846.5281438995,1407046.5281438995,42.53723103403772
2023-01-12,2878750,4695185.837992027,1816435.8379920274,63.098075136501166
2024-01-01,2876450,4675525.198493268,1799075.1984932683,62.544984216421916
2024-01-02,2828800,4616154.5263461135,1787354.5263461135,63.18419564289146
2024-01-03,2843700,4556783.864362432,1713083.8643624317,60.2413709027827
2024-01-04,2777550,4497413.206931364,1719863.2069313638,61.92015290206706
2024-01-05,2690800,4438042.551539583,1747242.5515395831,64.93394349411264
2024-01-06,2680150,4378671.897061272,1698521.8970612716,63.37413566633477
2024-01-07,2626000,4319301.242992146,1693301.242992146,64.48214939040922
2024-01-08,2408100,4259930.589106308,1851830.5891063083,76.90007014269791
2024-01-09,2423300,4200559.935302567,1777259.9353025667,73.3404834441698
2024-01-10,2430000,4141189.281535607,1711189.2815356068,70.41931199735008
2024-01-11,2430000,4081818.6277851183,1651818.6277851183,67.97607521749458
2024-01-12,2430000,4022447.9740420096,1592447.9740420096,65.53283843794277
2025-01-01,2136279,3963077.320302205,1826798.3203022052,85.51309638404932
2025-01-02,2120847,3963077.3203010038,1842230.3203010038,86.86295241009859
2025-01-03,3306934,3963077.3203004654,656143.3203004654,19.841439844292793
2025-01-04,3370868,3963077.320300225,592209.3203002252,17.56845181419816
2025-01-05,3346617,3963077.320300117,616460.3203001171,18.420402463147624
2025-01-06,3375277,3963077.3203000687,587800.3203000687,17.414876476806754
2025-01-07,3331185,3963077.3203000464,631892.3203000464,18.96899512636033
2025-01-08,3362049,3963077.320300037,601028.320300037,17.876845944245222
2025-01-09,3778723,3963077.3203000333,184354.32030003332,4.8787466109591335
2025-01-10,4538647,3963077.3203000315,575569.6796999685,12.681525566979952
