Fecha,Real,Forecast,P5,P25,P50,P75,P95
2020-11-01,32041.0,32848.11815240022,28315.17212618648,30974.323728069117,32888.76795424436,34826.01512656556,37565.108332190866
2020-12-01,32031.75,32957.21528232807,28383.357506266573,31086.424755927386,32977.15649871405,34943.97274088621,37722.6395174193
2021-01-01,41243.0,33044.49298627035,28479.020952173392,31168.7354742782,33148.80061691336,35098.9713149402,37807.360670404756
2021-02-01,51953.0,33114.315149424176,28404.760776846946,31240.036137971416,33160.046972837,35114.96995199544,37800.31119397055
2021-03-01,50069.0,33170.17287994723,28552.943880052797,31361.875799640857,33282.08113756065,35182.11359245739,37934.217068766986
2021-04-01,45165.0,33214.85906436568,28555.221188813062,31325.724448961395,33243.79428008364,35188.590804239575,37881.18254157549
2021-05-01,43615.0,33250.60801190044,28590.3629115797,31435.53992616383,33339.23731618667,35294.95019989631,38072.419122430256
2021-06-01,49618.0,33279.207169928246,28639.914829425124,31366.45435402016,33355.227122610566,35309.75698171292,38119.04242496566
2021-07-01,52426.0,33302.086496350494,28551.74624067381,31359.19902106719,33329.25518676484,35263.5117636113,38001.02374802785
2021-08-01,50121.5,33320.38995748829,28702.5266391636,31382.706539942083,33367.46479547644,35358.29801611331,38159.73683131611
2021-09-01,53019.0,33335.032726398524,28614.927855439084,31417.42918000005,33407.51926503309,35366.27163961629,38198.971179563545
2021-10-01,56340.0,33346.74694152671,28668.690308945526,31452.62982111625,33418.66145180348,35370.86830612151,38137.531952520665
2021-11-01,65530.0,33356.11831362927,28492.664726047435,31409.275437787757,33380.079249696886,35307.822122115016,38148.22939093765
2021-12-01,70232.0,33363.61541131131,28586.495529824835,31373.91964174447,33348.922637193886,35335.04094287484,38080.38170240056
2022-01-01,70764.0,33369.613089456936,28689.84617121787,31529.866710952072,33460.314539696905,35424.65863927187,38318.031355790736
2022-02-01,73767.0,33374.41123197345,28562.689986915775,31490.343419663244,33414.27054606182,35313.26942694489,38308.7157869632
2022-03-01,81860.0,33378.24974598665,28655.861066252062,31442.412483866385,33422.735073237236,35356.97989124301,38054.91583356593
2022-04-01,81767.0,33381.320557197214,28705.906396952883,31505.56318035251,33424.92362157282,35350.41565875396,38088.65756772064
2022-05-01,73640.0,33383.777206165665,28667.101270878982,31516.19714873663,33495.96612048487,35404.35338045542,38306.884777832296
2022-06-01,70098.0,33385.74252534043,28733.948830105728,31502.0968312221,33471.28475763371,35361.3918688395,38224.743773412265
2022-07-01,50097.0,33387.31478068024,28686.504210769,31458.86356894973,33413.61854580229,35304.769961965925,38225.32786528709
2022-08-01,51595.0,33388.57258495208,28684.093767668015,31523.0336914179,33454.951265458556,35442.627369859474,38175.14890759249
2022-09-01,51603.0,33389.57882836956,28667.159798613247,31476.75427885421,33420.22583383804,35361.58409699175,38165.04378012607
2022-10-01,51577.5,33390.38382310354,28553.61220507988,31432.92066524594,33448.29490360821,35390.972372427525,38229.235777311056
2022-11-01,51584.0,33391.027818890725,28713.512909424,31471.333960212138,33458.673678637715,35416.57404373944,38242.030787369906
2022-12-01,51591.0,33391.543015520474,28645.76120505151,31430.38401380409,33378.16215363499,35357.417049676056,38211.8257086274
2023-01-01,48652.0,33391.95517282427,28675.097034207534,31444.868801148405,33422.24879804015,35384.06491969103,38183.89546318051
2023-02-01,33814.5,33392.28489866731,28655.908935055886,31498.68116790288,33471.22138780137,35407.7941406105,38200.28521153642
2023-03-01,34579.0,33392.548679341744,28632.077262266237,31455.804203778276,33407.77865932402,35365.36507847701,38249.290351306074
2023-04-01,34582.0,33392.75970388129,28694.782181840255,31450.151431174192,33421.9500061641,35379.04028056485,38210.72079291389
2023-05-01,29165.0,33392.92852351293,28548.03129330194,31487.96560397704,33460.84657182613,35424.040395136486,38266.73942127973
2023-06-01,33074.0,33393.06357921824,28711.134235752605,31518.304955919586,33479.78622660888,35420.40205851532,38214.87986431229
2023-07-01,33049.5,33393.17162378248,28695.478493639126,31504.18667454585,33434.14629661117,35376.88637176412,38147.981691962625
2023-08-01,33055.5,33393.25805943388,28657.977068928194,31433.959186506087,33419.345543307325,35301.634977963666,38223.08537816155
2023-09-01,33071.0,33393.327207955,28750.770660029095,31511.94306159448,33422.038049066585,35408.50872036429,38123.923263711884
2023-10-01,33059.0,33393.38252677189,28640.822428843476,31493.313136614564,33438.19349134137,35382.68120868235,38220.45651408008
2023-11-01,33078.0,33393.42678182541,28579.329347286202,31450.253796377685,33449.148614357095,35418.99450631572,38254.64471861541
2023-12-01,28787.5,33393.46218586822,28560.634578072062,31425.413768822465,33427.22735993905,35393.26343219781,38164.040581422894
2024-01-01,28764.5,33393.49050910247,28709.820532591606,31467.551912784536,33380.87283319927,35402.53360963885,38178.799186255485
2024-02-01,28288.0,33393.51316768987,28851.679994675706,31549.316917649976,33531.142269641554,35421.54618989517,38233.22437081182
2024-03-01,28437.0,33393.53129455979,28709.885029282646,31527.652913604306,33434.48665640703,35413.3480074059,38237.513393029556
2024-04-01,27775.5,33393.545796055725,28614.385248851784,31522.18055964518,33500.73321191539,35396.72166162002,38246.38041755941
2024-05-01,26908.0,33393.55739725247,28664.539251685914,31487.029749192036,33439.915454807524,35425.14784950637,38186.232593001994
2024-06-01,26801.5,33393.56667820988,28576.19381125719,31455.824971666625,33417.73726475672,35387.67348931661,38089.06343625493
2024-07-01,26260.0,33393.57410297579,28765.885675792495,31538.830244863748,33458.314774163846,35372.60575492513,38234.37435142707
2024-08-01,24081.0,33393.580042788526,28695.472561917028,31530.078608809115,33452.9431022145,35404.68943924901,38271.283564229096
2024-09-01,24233.0,33393.584794638715,28602.662917135545,31461.13706184792,33473.721475925624,35461.67194088217,38232.51594054967
2024-10-01,24300.0,33393.58859611887,28639.107599124025,31446.862237294936,33428.674373092654,35356.97545691742,38108.44792920464
2024-11-01,24300.0,33393.59163730299,28706.789106360975,31523.694157772246,33474.16382885566,35463.21984074611,38291.71819731312
2024-12-01,24300.0,33393.594070250285,28677.71960664449,31431.433360100753,33374.542360607345,35332.8633357565,38259.34900519896
2025-01-01,21362.79,33393.59601660812,28689.21538447121,31474.77113970226,33431.344582959224,35369.854628310255,38239.26897504422
2025-02-01,21208.47,33393.597573694395,28657.772359715404,31436.79275024399,33453.39264095215,35406.71404625658,38270.83747458434
2025-03-01,33069.34,33393.598819363404,28753.132277967325,31446.890846816088,33376.30834033116,35342.83217618674,38219.09217812332
2025-04-01,33708.68,33393.59981589862,28678.496325092518,31531.95669376365,33469.980024909026,35378.95912080467,38214.77925923181
2025-05-01,33466.17,33393.60061312679,28706.03014295375,31499.268628634883,33443.93721312973,35398.7333711182,38249.35357447955
2025-06-01,33752.77,33393.60125090933,28638.402427970508,31451.11059970926,33438.57213379425,35438.467883124744,38242.70635765729
2025-07-01,33311.85,33393.60176113535,28759.144244126812,31550.42433034096,33490.30692708502,35398.92136757851,38181.829242938205
2025-08-01,33620.49,33393.602169316175,28806.36297324688,31468.104525847866,33452.35175852665,35408.24350087025,38176.50012226783
2025-09-01,37787.23,33393.60249586084,28744.979785726686,31529.97422175012,33459.51253904194,35439.47834828417,38179.1982512533
2025-10-01,45386.47,33393.60275709656,28766.398639777664,31510.490608314958,33448.50435298387,35364.39561341227,38148.92497997542
